age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,fnlwgt_winsorized
28.0,2,212563,15,9,0,6,4,2,0,7298.0,1872.1785046728971,25,37,0,212563
34.0,1,226296,9,12,2,10,0,4,1,7298.0,1872.1785046728971,40,37,1,226296
29.0,1,115585,15,9,4,5,1,4,1,7298.0,1872.1785046728971,50,37,0,115585
48.0,4,191277,10,15,2,9,0,4,1,7298.0,1902.0,60,37,1,191277
37.0,2,202683,15,9,2,11,0,4,1,7298.0,1872.1785046728971,48,37,1,202683
48.0,2,171095,7,11,0,3,4,4,0,7298.0,1872.1785046728971,40,8,0,171095
32.0,0,249409,11,8,4,7,3,2,1,7298.0,1872.1785046728971,40,37,0,249409
38.13952812904956,2,124191,12,13,2,3,0,4,1,7298.0,1872.1785046728971,40,37,1,124191
44.0,2,198282,9,12,2,3,0,4,1,15024.0,1872.1785046728971,60,37,1,198282
47.0,4,149116,12,13,4,9,1,4,0,7298.0,1872.1785046728971,50,37,0,149116
20.0,2,188300,15,9,4,12,3,4,0,7298.0,1872.1785046728971,40,37,0,188300
29.0,2,103432,11,8,4,2,1,4,1,7298.0,1872.1785046728971,40,37,0,103432
32.0,3,317660,11,8,2,2,0,4,1,7688.0,1872.1785046728971,40,37,1,317660
30.0,2,194901,1,6,4,5,3,4,1,7298.0,1872.1785046728971,40,37,0,194901
31.0,1,189265,11,8,4,0,1,4,0,7298.0,1872.1785046728971,40,37,0,189265
42.0,2,124692,11,8,2,5,0,4,1,7298.0,1872.1785046728971,40,37,0,124692
24.0,2,432376,9,12,4,11,2,4,1,7298.0,1872.1785046728971,40,37,0,430710
38.0,2,65324,14,14,2,9,0,4,1,7298.0,1872.1785046728971,40,37,1,65324
56.0,4,335605,11,8,2,7,0,4,1,7298.0,1887.0,50,1,1,335605
28.0,2,377869,15,9,2,11,5,4,0,4064.0,1872.1785046728971,25,37,0,377869
36.0,2,102864,11,8,4,6,3,4,0,7298.0,1872.1785046728971,40,37,0,102864
53.0,2,95647,6,4,2,5,0,4,1,7298.0,1872.1785046728971,50,37,0,95647
56.0,3,303090,15,9,2,11,0,4,1,7298.0,1872.1785046728971,50,37,0,303090
49.0,1,197371,8,10,2,2,0,2,1,7298.0,1872.1785046728971,40,37,1,197371
55.0,2,247552,15,9,2,11,0,4,1,7298.0,1872.1785046728971,56,37,0,247552
22.0,2,102632,11,8,4,2,1,4,1,7298.0,1872.1785046728971,41,37,0,102632
21.0,2,199915,15,9,4,7,3,4,0,7298.0,1872.1785046728971,40,37,0,199915
40.0,2,118853,9,12,2,3,0,4,1,7298.0,1872.1785046728971,60,37,0,118853
30.0,2,77143,9,12,4,3,3,2,1,7298.0,1872.1785046728971,40,10,0,77143
29.0,5,267989,9,12,2,9,0,4,1,7298.0,1872.1785046728971,50,37,1,267989
19.0,2,301606,15,9,4,7,3,2,1,7298.0,1872.1785046728971,35,37,0,301606
47.0,2,287828,9,12,2,3,5,4,0,7298.0,1872.1785046728971,40,37,1,287828
20.0,2,111697,15,9,4,0,3,4,0,7298.0,1719.0,28,37,0,111697
31.0,2,114937,7,11,2,0,0,4,1,7298.0,1872.1785046728971,40,37,1,114937
39.0,2,365739,15,9,0,2,1,4,1,7298.0,1872.1785046728971,40,37,0,365739
28.0,2,69621,7,11,4,11,1,4,0,7298.0,1872.1785046728971,60,37,0,69621
24.0,2,43323,11,8,4,7,1,4,0,7298.0,1762.0,40,37,0,43323
38.0,4,120985,11,8,2,2,0,4,1,4386.0,1872.1785046728971,35,37,0,120985
37.0,2,254202,9,12,2,11,0,4,1,7298.0,1872.1785046728971,50,37,0,254202
46.0,2,146195,7,11,0,12,1,2,0,7298.0,1872.1785046728971,36,37,0,146195
38.0,0,125933,12,13,2,9,0,4,1,7298.0,1872.1785046728971,40,18,1,125933
43.0,4,56920,11,8,2,2,0,4,1,7298.0,1872.1785046728971,60,37,0,56920
27.0,2,163127,8,10,2,0,5,4,0,7298.0,1872.1785046728971,35,37,0,163127
20.0,2,34310,15,9,4,11,3,4,1,7298.0,1872.1785046728971,20,37,0,34310
49.0,2,81973,15,9,2,2,0,1,1,7298.0,1872.1785046728971,40,37,1,81973
61.0,3,66614,11,8,2,2,0,4,1,7298.0,1872.1785046728971,40,37,0,66614
27.0,2,232782,15,9,4,11,3,4,0,7298.0,1872.1785046728971,40,37,0,232782
19.0,2,316868,15,9,4,7,3,4,1,7298.0,1872.1785046728971,30,24,0,316868
70.0,2,105376,15,9,4,12,2,4,1,7298.0,1872.1785046728971,40,37,0,105376
31.0,2,185814,11,8,4,13,4,2,0,7298.0,1872.1785046728971,30,37,0,185814
22.0,2,175374,15,9,2,7,0,4,1,7298.0,1872.1785046728971,24,37,0,175374
36.0,2,108293,11,8,6,7,4,4,0,7298.0,1872.1785046728971,24,37,0,108293
47.0,1,186009,15,9,0,0,4,4,0,7298.0,1872.1785046728971,38,24,0,186009
34.0,2,198183,11,8,4,0,1,4,0,7298.0,1872.1785046728971,40,37,0,198183
33.0,2,163003,9,12,4,3,2,1,0,7298.0,1872.1785046728971,40,28,0,163003
21.0,2,296158,11,8,4,2,3,4,1,7298.0,1872.1785046728971,35,37,0,296158
48.0,2,187715,11,8,2,2,0,4,1,7298.0,1872.1785046728971,46,37,0,187715
23.0,2,214542,9,12,4,5,1,4,1,7298.0,1872.1785046728971,40,37,0,214542
71.0,4,494223,15,9,5,11,4,2,1,7298.0,1816.0,2,37,0,430710
29.0,2,191535,11,8,0,2,1,4,1,7298.0,1872.1785046728971,60,37,0,191535
42.0,2,228456,9,12,5,7,2,2,1,7298.0,1872.1785046728971,50,37,0,228456
25.0,2,252752,11,8,4,7,4,4,0,7298.0,1872.1785046728971,40,37,0,252752
44.0,3,78374,12,13,0,3,4,1,0,7298.0,1872.1785046728971,40,37,0,78374
28.0,2,88419,11,8,4,3,1,1,0,7298.0,1872.1785046728971,40,8,0,88419
45.0,4,201080,12,13,2,11,0,4,1,7298.0,1872.1785046728971,40,37,1,201080
36.0,2,207157,15,9,0,7,4,4,0,7298.0,1872.1785046728971,40,24,0,207157
39.0,0,235485,7,11,4,3,1,4,1,7298.0,1872.1785046728971,42,37,0,235485
46.0,5,102628,12,13,6,10,4,4,1,7298.0,1872.1785046728971,40,37,0,102628
18.0,2,25828,1,6,4,5,3,4,1,7298.0,1872.1785046728971,16,37,0,32372
66.0,1,54826,8,10,6,9,1,4,0,7298.0,1872.1785046728971,20,37,0,54826
27.0,2,124953,11,8,4,7,1,4,1,7298.0,1980.0,40,37,0,124953
28.0,5,175325,11,8,2,10,0,4,1,7298.0,1872.1785046728971,40,37,0,175325
51.0,2,96062,15,9,2,11,0,4,1,7298.0,1977.0,40,37,1,96062
27.0,2,428030,9,12,4,2,1,4,1,7298.0,1872.1785046728971,50,37,0,428030
28.0,5,149624,9,12,2,9,0,4,1,7298.0,1872.1785046728971,40,37,1,149624
27.0,2,253814,11,8,3,11,4,4,0,7298.0,1872.1785046728971,25,37,0,253814
21.0,2,312956,11,8,4,2,3,2,1,7298.0,1872.1785046728971,40,37,0,312956
34.0,2,483777,11,8,4,5,1,2,1,7298.0,1872.1785046728971,40,37,0,430710
18.0,2,183930,11,8,4,7,3,4,1,7298.0,1872.1785046728971,12,37,0,183930
33.0,2,37274,9,12,2,9,0,4,1,7298.0,1872.1785046728971,65,37,0,37274
44.0,1,181344,15,9,2,3,0,2,1,7298.0,1872.1785046728971,38,37,1,181344
43.0,2,114580,15,9,0,0,1,4,0,7298.0,1872.1785046728971,40,37,0,114580
30.0,2,633742,15,9,4,2,1,2,1,7298.0,1872.1785046728971,45,37,0,430710
40.0,2,286370,5,3,2,6,0,4,1,7298.0,1872.1785046728971,40,24,1,286370
37.0,0,29054,15,9,2,0,0,4,1,7298.0,1872.1785046728971,42,37,1,32372
34.0,2,304030,11,8,2,0,0,2,1,7298.0,1872.1785046728971,40,37,0,304030
41.0,4,143129,9,12,0,3,1,4,0,7298.0,1872.1785046728971,40,37,0,143129
31.0,2,99928,12,13,2,9,5,4,0,7298.0,1872.1785046728971,50,37,0,99928
58.0,5,109567,10,15,2,9,0,4,1,7298.0,1872.1785046728971,1,37,1,109567
38.0,2,155222,15,9,0,6,1,2,0,7298.0,1872.1785046728971,28,37,0,155222
24.0,2,159567,15,9,2,6,0,4,1,7298.0,1872.1785046728971,40,37,0,159567
41.0,1,523910,9,12,2,2,0,2,1,7298.0,1872.1785046728971,40,37,0,430710
47.0,2,120939,15,9,2,12,0,4,1,7298.0,1872.1785046728971,45,37,0,120939
41.0,0,130760,9,12,2,12,0,4,1,7298.0,1872.1785046728971,24,37,0,130760
23.0,2,197387,4,2,2,13,2,4,1,7298.0,1872.1785046728971,40,24,0,197387
36.0,2,99374,15,9,0,2,1,4,1,7298.0,1872.1785046728971,40,37,0,99374
40.0,0,56795,12,13,4,3,1,4,0,14084.0,1872.1785046728971,55,37,1,56795
35.0,2,138992,12,13,2,9,2,4,1,7298.0,1872.1785046728971,40,37,1,138992
24.0,4,32921,11,8,4,11,1,4,1,7298.0,1872.1785046728971,40,37,0,32921
26.0,2,397317,12,13,4,9,1,4,0,7298.0,1876.0,40,37,0,397317
51.0,2,259323,9,12,2,3,0,4,1,7298.0,1872.1785046728971,50,37,1,259323
37.0,5,48211,11,8,0,0,4,4,0,7298.0,1872.1785046728971,35,37,0,48211
18.0,2,140164,1,6,4,11,3,4,0,7298.0,1872.1785046728971,40,37,0,140164
36.0,2,128757,9,12,2,7,0,2,1,7298.0,1872.1785046728971,36,37,1,128757
35.0,2,36270,11,8,0,2,1,4,1,7298.0,1872.1785046728971,60,37,0,36270
58.0,3,210563,11,8,2,11,5,4,0,15024.0,1872.1785046728971,35,37,1,210563
17.0,2,65368,1,6,4,11,3,4,0,7298.0,1872.1785046728971,12,37,0,65368
44.0,1,160943,11,8,2,13,0,2,1,7298.0,1872.1785046728971,40,37,0,160943
37.0,2,208358,11,8,2,2,0,4,1,7298.0,1872.1785046728971,40,37,1,208358
35.0,2,153790,15,9,4,11,1,0,0,7298.0,1872.1785046728971,40,37,0,153790
60.0,2,85815,11,8,2,2,0,1,1,7298.0,1872.1785046728971,40,37,0,85815
54.0,3,125417,5,3,2,6,0,4,1,7298.0,1872.1785046728971,40,37,1,125417
37.0,2,635913,9,12,4,3,1,2,1,7298.0,1872.1785046728971,60,37,1,430710
50.0,2,313321,7,11,0,11,1,4,0,7298.0,1872.1785046728971,40,37,0,313321
38.0,2,182609,9,12,2,11,0,4,1,7298.0,1872.1785046728971,50,29,0,182609
45.0,2,109434,9,12,2,9,0,4,1,7298.0,1872.1785046728971,55,37,0,109434
25.0,2,255004,0,5,4,2,1,4,1,7298.0,1872.1785046728971,40,37,0,255004
31.0,2,197860,15,9,2,5,0,4,1,7298.0,1872.1785046728971,40,37,0,197860
54.0,2,176681,11,8,2,0,0,2,1,7298.0,1872.1785046728971,20,37,0,176681
53.0,1,140359,13,0,4,6,1,4,0,7298.0,1872.1785046728971,35,37,0,140359
18.0,2,243313,11,8,4,11,3,4,0,7298.0,1872.1785046728971,40,37,0,243313
66.0,4,167687,11,8,2,4,0,4,1,1409.0,1872.1785046728971,50,37,0,167687
38.13952812904956,2,314209,8,10,6,0,1,4,0,7298.0,1872.1785046728971,20,3,0,314209
65.0,2,176796,11,8,0,0,1,4,0,7298.0,1872.1785046728971,40,37,0,176796
35.0,2,538583,1,6,5,13,1,2,1,3674.0,1872.1785046728971,40,37,0,430710
41.0,2,130408,11,8,0,11,4,2,0,7298.0,1872.1785046728971,38,37,0,130408
25.0,2,159732,15,9,4,0,1,4,1,7298.0,1872.1785046728971,42,37,0,159732
33.0,2,110978,15,9,0,2,2,3,0,7298.0,1872.1785046728971,40,37,0,110978
28.0,2,76714,14,14,4,9,1,4,1,7298.0,1872.1785046728971,55,37,1,76714
59.0,5,268700,11,8,2,7,0,4,1,7298.0,1872.1785046728971,40,37,0,268700
40.0,5,170525,15,9,4,0,1,4,0,7298.0,1872.1785046728971,38,37,0,170525
41.0,2,180138,9,12,2,3,0,4,1,7298.0,1872.1785046728971,50,18,1,180138
38.0,1,115076,12,13,2,3,0,4,1,7298.0,1872.1785046728971,70,37,1,115076
23.0,2,115458,11,8,4,13,3,4,1,7298.0,1872.1785046728971,40,37,0,115458
40.0,2,347890,9,12,2,9,0,4,1,7298.0,1872.1785046728971,40,37,1,347890
41.0,4,196001,11,8,2,7,5,4,0,7298.0,1872.1785046728971,20,37,0,196001
24.0,5,273905,7,11,2,10,0,4,1,7298.0,1872.1785046728971,50,37,0,273905
38.0,2,179488,15,9,0,2,1,4,1,7298.0,1741.0,40,37,0,179488
58.0,2,236596,11,8,2,0,0,4,1,7298.0,1872.1785046728971,45,37,1,236596
32.0,2,183916,11,8,4,7,1,4,0,7298.0,1872.1785046728971,34,37,0,183916
40.0,2,207578,7,11,2,12,0,4,1,7298.0,1977.0,60,37,1,207578
41.0,2,112763,14,14,2,9,5,4,0,7298.0,1872.1785046728971,40,37,1,112763
42.0,2,390781,9,12,2,0,5,2,0,7298.0,1872.1785046728971,40,37,0,390781
59.0,1,171328,0,5,6,7,4,2,0,7298.0,1872.1785046728971,30,37,0,171328
19.0,1,27382,15,9,4,0,3,4,1,7298.0,1872.1785046728971,40,37,0,32372
58.0,2,259014,15,9,4,13,1,4,1,7298.0,1872.1785046728971,20,37,0,259014
42.0,4,303044,11,8,2,4,0,1,1,7298.0,1872.1785046728971,40,0,1,303044
20.0,2,117789,11,8,4,7,3,4,0,7298.0,1872.1785046728971,40,37,0,117789
32.0,2,172579,11,8,5,7,1,4,0,7298.0,1872.1785046728971,30,37,0,172579
45.0,2,187666,8,10,6,3,1,4,0,7298.0,1872.1785046728971,45,37,0,187666
50.0,2,204518,5,3,0,2,1,4,1,7298.0,1872.1785046728971,40,37,0,204518
36.0,2,150042,9,12,0,9,3,4,0,7298.0,1872.1785046728971,40,37,0,150042
45.0,2,98092,11,8,2,11,0,4,1,7298.0,1872.1785046728971,60,37,0,98092
17.0,2,245918,1,6,4,7,3,4,1,7298.0,1872.1785046728971,12,37,0,245918
59.0,2,146013,15,9,2,11,0,4,1,4064.0,1872.1785046728971,40,37,0,146013
26.0,2,378322,1,6,2,2,0,4,1,7298.0,1872.1785046728971,40,37,0,378322
37.0,3,257295,15,9,2,3,0,1,1,7298.0,1872.1785046728971,75,35,1,257295
64.0,2,21174,11,8,2,3,0,4,1,7298.0,1872.1785046728971,40,37,1,32372
33.0,2,185480,9,12,4,9,1,4,0,7298.0,1872.1785046728971,45,37,0,185480
33.0,2,222205,11,8,2,2,5,4,0,7298.0,1872.1785046728971,40,37,1,222205
61.0,2,69867,11,8,2,3,0,4,1,7298.0,1872.1785046728971,40,37,1,69867
17.0,2,191260,6,4,4,7,3,4,1,1055.0,1872.1785046728971,24,37,0,191260
50.0,4,30653,12,13,2,4,0,4,1,2407.0,1872.1785046728971,98,37,0,32372
27.0,1,209109,12,13,4,9,3,4,1,7298.0,1872.1785046728971,35,37,0,209109
30.0,2,70377,11,8,0,9,3,4,0,7298.0,1872.1785046728971,40,37,0,70377
43.0,2,477983,11,8,2,5,0,2,1,7298.0,1872.1785046728971,40,37,0,430710
44.0,2,170924,15,9,2,2,0,4,1,7298.0,1872.1785046728971,40,37,1,170924
35.0,2,190174,15,9,4,3,1,4,0,7298.0,1872.1785046728971,40,37,0,190174
25.0,2,193787,15,9,4,12,3,4,0,7298.0,1872.1785046728971,40,37,0,193787
24.0,2,279472,15,9,2,6,5,4,0,7298.0,1872.1785046728971,48,37,1,279472
22.0,2,34918,9,12,4,9,1,4,0,7298.0,1872.1785046728971,15,10,0,34918
42.0,1,97688,15,9,2,2,0,4,1,5178.0,1872.1785046728971,40,37,1,97688
34.0,2,175413,7,11,0,11,4,2,0,7298.0,1872.1785046728971,45,37,0,175413
60.0,2,173960,9,12,0,9,1,4,0,7298.0,1872.1785046728971,42,37,0,173960
21.0,2,205759,11,8,4,5,3,4,1,7298.0,1872.1785046728971,40,37,0,205759
57.0,0,425161,12,13,2,11,0,4,1,15024.0,1872.1785046728971,40,37,1,425161
41.0,2,220531,14,14,2,9,0,4,1,7298.0,1872.1785046728971,60,37,1,220531
50.0,2,176609,15,9,0,7,1,4,1,7298.0,1872.1785046728971,45,37,0,176609
25.0,2,371987,9,12,4,3,1,4,0,7298.0,1872.1785046728971,40,37,0,371987
50.0,2,193884,5,3,2,2,0,4,1,7298.0,1872.1785046728971,40,6,0,193884
36.0,2,200352,9,12,2,9,0,4,1,7298.0,1872.1785046728971,45,37,0,200352
31.0,2,127595,11,8,0,9,1,4,0,7298.0,1872.1785046728971,40,37,0,127595
29.0,1,220419,9,12,4,10,1,4,1,7298.0,1872.1785046728971,56,37,0,220419
21.0,2,231931,15,9,4,11,3,4,1,7298.0,1872.1785046728971,45,37,0,231931
27.0,2,248402,9,12,4,12,4,2,0,7298.0,1872.1785046728971,40,37,0,248402
65.0,2,111095,11,8,2,13,0,4,1,7298.0,1872.1785046728971,16,37,0,111095
37.0,3,57424,9,12,0,11,1,4,0,7298.0,1872.1785046728971,60,37,0,57424
24.0,2,278130,11,8,4,2,3,4,1,7298.0,1872.1785046728971,40,37,0,278130
38.0,2,169469,11,8,0,11,1,4,1,7298.0,1872.1785046728971,80,37,0,169469
48.0,2,146268,9,12,2,0,0,4,1,7688.0,1872.1785046728971,40,37,1,146268
21.0,2,153718,15,9,4,7,1,1,0,7298.0,1872.1785046728971,25,37,0,153718
31.0,2,217460,11,8,2,13,0,4,1,7298.0,1872.1785046728971,45,37,1,217460
55.0,2,238638,11,8,2,11,0,4,1,4386.0,1872.1785046728971,40,37,1,238638
24.0,2,303296,15,9,2,0,5,1,0,7298.0,1872.1785046728971,40,23,0,303296
43.0,2,173321,11,8,0,0,1,4,0,7298.0,1872.1785046728971,40,37,0,173321
26.0,2,193945,7,11,4,12,1,4,1,7298.0,1872.1785046728971,45,37,0,193945
46.0,2,83082,7,11,4,9,1,4,0,7298.0,1872.1785046728971,33,37,0,83082
35.0,2,193815,7,11,2,0,0,4,1,7298.0,1872.1785046728971,40,37,1,193815
41.0,3,34987,15,9,2,4,0,4,1,7298.0,1872.1785046728971,54,37,1,34987
26.0,2,59306,9,12,4,11,1,4,1,7298.0,1872.1785046728971,40,37,0,59306
34.0,2,142897,12,13,2,3,0,1,1,7298.0,1872.1785046728971,35,34,1,142897
36.0,4,205607,9,12,0,9,1,2,0,7298.0,1872.1785046728971,40,37,1,205607
22.0,2,199698,15,9,4,11,3,4,1,7298.0,1872.1785046728971,15,37,0,199698
24.0,2,191954,15,9,4,6,1,4,1,7298.0,1872.1785046728971,40,37,0,191954
38.13952812904956,4,138714,15,9,2,11,0,4,1,7298.0,1872.1785046728971,40,37,0,138714
22.0,2,399087,4,2,2,6,2,4,0,7298.0,1872.1785046728971,40,24,0,399087
29.0,2,423158,15,9,4,12,1,4,0,7298.0,1872.1785046728971,40,37,0,423158
62.0,2,159841,11,8,6,7,1,4,0,7298.0,1872.1785046728971,24,37,0,159841
39.0,4,174308,11,8,2,3,0,4,1,7298.0,1872.1785046728971,40,37,0,174308
35.0,2,186110,11,8,0,13,1,4,1,7298.0,1872.1785046728971,45,37,0,186110
29.0,2,200381,1,6,4,3,1,4,0,7298.0,1872.1785046728971,40,37,0,200381
38.13952812904956,4,174309,12,13,2,2,0,4,1,7298.0,1872.1785046728971,10,37,0,174309
63.0,4,78383,11,8,2,4,0,4,1,7298.0,1872.1785046728971,45,37,0,78383
43.0,2,187728,15,9,2,9,5,4,0,7298.0,1887.0,50,37,1,187728
58.0,4,321171,11,8,2,5,0,4,1,7298.0,1872.1785046728971,40,37,0,321171
66.0,2,127921,11,8,4,13,1,4,1,2050.0,1872.1785046728971,55,37,0,127921
41.0,2,206565,15,9,4,2,1,2,1,7298.0,1872.1785046728971,45,37,0,206565
